ID,year,age,sex,status,education,jobclass,health,health_ins,wage
35,2006,36,Male,Married,College Grad,Information,Very Good,Yes,89.88004678
36,2003,56,Male,Never Married,Advanced Degree,Information,Good,Yes,87.98103279
37,2006,70,Male,Never Married,College Grad,Industrial,Good,Yes,87.98103279
38,2004,25,Male,Never Married,College Grad,Industrial,Very Good,Yes,103.9024706
39,2006,32,Male,Married,Some College,Industrial,Very Good,No,105.9278108
40,2003,27,Male,Married,Less than HS Grad,Industrial,Very Good,No,66.22940829
41,2004,28,Male,Married,College Grad,Industrial,Very Good,No,34.60741773
42,2007,27,Male,Never Married,College Grad,Information,Very Good,Yes,109.8339856
43,2004,43,Male,Never Married,Less than HS Grad,Industrial,Good,No,45.28216999
44,2005,50,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,73.77574327
45,2004,39,Male,Married,HS Grad,Information,Very Good,No,81.28325328
46,2008,52,Male,Married,Advanced Degree,Industrial,Very Good,Yes,154.685293
47,2009,35,Male,Married,College Grad,Industrial,Very Good,Yes,267.9010869
48,2007,57,Male,Married,Advanced Degree,Information,Very Good,Yes,176.9896505
49,2006,25,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,66.22940829
50,2006,33,Male,Never Married,HS Grad,Information,Good,Yes,116.2653241
51,2005,57,Male,Married,Advanced Degree,Information,Very Good,No,200.5432623
52,2008,71,Male,Married,Some College,Industrial,Very Good,Yes,101.8243521
53,2004,43,Male,Married,College Grad,Industrial,Very Good,Yes,272.2947832
54,2003,23,Male,Never Married,Some College,Industrial,Very Good,No,35.03342132
55,2009,30,Male,Never Married,Advanced Degree,Information,Very Good,Yes,114.4757133
56,2004,22,Male,Never Married,HS Grad,Information,Very Good,Yes,81.28325328
57,2006,59,Male,Married,Advanced Degree,Information,Good,Yes,200.5432623
58,2003,28,Male,Never Married,College Grad,Information,Very Good,Yes,148.4131591
59,2004,61,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
60,2003,34,Male,Married,HS Grad,Information,Very Good,Yes,111.7208494
61,2005,43,Male,Married,College Grad,Industrial,Very Good,Yes,152.838801
62,2006,54,Male,Married,Some College,Industrial,Very Good,No,117.1468169
63,2005,69,Male,Married,HS Grad,Industrial,Good,Yes,77.7376033
64,2004,41,Male,Married,Some College,Industrial,Good,Yes,87.98103279
65,2003,48,Male,Married,Advanced Degree,Information,Very Good,Yes,125.5254984
66,2003,49,Male,Married,Some College,Information,Very Good,Yes,123.336104
67,2009,42,Male,Married,HS Grad,Industrial,Very Good,Yes,158.2946214
68,2003,37,Male,Married,College Grad,Information,Very Good,Yes,200.5432623
69,2004,55,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
70,2008,21,Male,Never Married,HS Grad,Industrial,Very Good,No,70.47601965
71,2004,58,Male,Married,HS Grad,Information,Very Good,Yes,94.07271475
72,2006,31,Male,Never Married,HS Grad,Industrial,Very Good,No,81.28325328
73,2006,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,81.28325328
74,2006,32,Male,Never Married,Some College,Information,Very Good,Yes,100.7642728
75,2009,40,Male,Never Married,Less than HS Grad,Information,Very Good,Yes,94.07271475
76,2003,44,Male,Married,Advanced Degree,Information,Very Good,No,99.6894637
77,2003,60,Male,Married,College Grad,Industrial,Very Good,Yes,268.266292
78,2006,23,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,81.28325328
79,2003,63,Male,Married,HS Grad,Information,Very Good,No,113.5670896
80,2008,44,Male,Never Married,Less than HS Grad,Industrial,Good,No,87.98103279
81,2005,47,Male,Married,Advanced Degree,Information,Good,Yes,128.6804882
82,2004,61,Male,Married,Some College,Industrial,Very Good,Yes,106.7239776
83,2009,55,Male,Married,Advanced Degree,Information,Very Good,No,66.04469423
84,2003,24,Male,Never Married,Less than HS Grad,Industrial,Good,No,51.52195631
85,2007,42,Male,Widowed,HS Grad,Industrial,Very Good,Yes,85.38394038
86,2006,25,Male,Married,HS Grad,Information,Very Good,Yes,76.89360252
87,2004,34,Male,Divorced,HS Grad,Industrial,Very Good,No,90.48191336
88,2009,53,Male,Married,Less than HS Grad,Information,Very Good,No,68.07642829
89,2009,53,Male,Married,College Grad,Information,Very Good,Yes,130.9821774
90,2009,70,Male,Married,Advanced Degree,Information,Good,No,127.901233
91,2004,47,Male,Married,College Grad,Information,Very Good,Yes,131.2245938
92,2003,46,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
93,2003,33,Male,Divorced,Less than HS Grad,Industrial,Good,Yes,76.89360252
94,2005,34,Male,Married,Advanced Degree,Information,Very Good,Yes,107.9039239
95,2006,22,Male,Never Married,HS Grad,Industrial,Good,No,81.28325328
96,2009,74,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
97,2003,40,Male,Married,Some College,Information,Good,Yes,98.59934386
98,2006,45,Male,Married,College Grad,Information,Very Good,Yes,200.5432623
99,2009,43,Male,Married,College Grad,Information,Very Good,Yes,156.5035109
100,2005,33,Male,Married,College Grad,Information,Very Good,Yes,144.944365
101,2009,62,Male,Married,College Grad,Information,Very Good,Yes,118.8843593
102,2008,37,Male,Married,College Grad,Information,Very Good,Yes,121.4303138
103,2004,54,Male,Married,HS Grad,Information,Good,Yes,111.7208494
104,2005,34,Male,Married,Some College,Industrial,Very Good,No,68.74808773
105,2008,50,Male,Never Married,College Grad,Information,Very Good,Yes,114.4757133
106,2006,46,Male,Divorced,Some College,Industrial,Good,Yes,95.23071257
107,2007,41,Male,Married,Less than HS Grad,Industrial,Very Good,No,87.98103279
108,2003,63,Male,Divorced,Some College,Industrial,Good,Yes,64.27439722
109,2007,38,Male,Married,Some College,Industrial,Good,Yes,128.6804882
110,2006,35,Male,Married,Some College,Industrial,Very Good,Yes,114.4757133
111,2009,29,Male,Married,College Grad,Information,Good,Yes,112.6488963
112,2008,66,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,81.28325328
113,2004,37,Male,Married,HS Grad,Information,Good,Yes,75.89548482
114,2006,39,Male,Married,HS Grad,Information,Very Good,Yes,112.136923
115,2003,42,Male,Married,HS Grad,Industrial,Very Good,No,85.38394038
116,2007,51,Male,Divorced,HS Grad,Industrial,Very Good,Yes,94.07271475
117,2009,55,Male,Married,Advanced Degree,Industrial,Good,Yes,114.4757133
118,2006,51,Male,Married,Advanced Degree,Industrial,Very Good,Yes,176.9896505
119,2008,38,Male,Married,Advanced Degree,Industrial,Good,Yes,276.7784133
120,2005,49,Male,Married,HS Grad,Information,Very Good,Yes,101.8243521
121,2006,42,Male,Married,HS Grad,Information,Very Good,No,91.69922611
122,2009,43,Male,Separated,Less than HS Grad,Information,Good,No,86.69515483
123,2006,38,Male,Married,College Grad,Information,Very Good,Yes,162.9464607
124,2008,59,Male,Married,HS Grad,Industrial,Very Good,Yes,139.2137881
125,2009,57,Male,Married,Some College,Industrial,Good,Yes,95.23071257
126,2005,25,Male,Never Married,HS Grad,Industrial,Good,No,66.96164432
127,2004,49,Male,Married,College Grad,Industrial,Good,Yes,131.1943236
128,2004,41,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,90.48191336
129,2009,38,Male,Married,HS Grad,Industrial,Very Good,Yes,114.4757133
130,2003,61,Male,Married,Advanced Degree,Industrial,Very Good,Yes,79.1280845
131,2007,49,Male,Divorced,HS Grad,Industrial,Good,Yes,104.5917379
132,2008,52,Male,Divorced,Advanced Degree,Information,Very Good,Yes,132.4878211
133,2007,43,Male,Married,Advanced Degree,Information,Very Good,Yes,141.7751723
134,2008,60,Male,Married,College Grad,Information,Very Good,Yes,123.0896998
135,2005,46,Male,Married,Advanced Degree,Information,Very Good,Yes,134.7053751
136,2004,21,Male,Never Married,HS Grad,Information,Very Good,No,55.76739051
137,2009,61,Male,Married,College Grad,Industrial,Very Good,Yes,106.9218141
138,2007,32,Male,Married,Advanced Degree,Information,Very Good,Yes,118.8843593
139,2004,58,Male,Married,HS Grad,Information,Good,Yes,87.98103279
140,2003,35,Male,Never Married,HS Grad,Information,Very Good,Yes,88.92960664
141,2004,26,Male,Never Married,HS Grad,Information,Very Good,Yes,81.28325328
142,2006,32,Male,Never Married,HS Grad,Industrial,Very Good,No,94.07271475
143,2003,37,Male,Married,HS Grad,Information,Very Good,Yes,106.9218141
144,2007,22,Male,Never Married,HS Grad,Industrial,Good,No,59.09706408
145,2005,51,Male,Never Married,HS Grad,Industrial,Good,No,65.11085372
146,2004,44,Male,Divorced,Advanced Degree,Information,Good,Yes,120.5894365
147,2005,35,Male,Married,Advanced Degree,Industrial,Very Good,Yes,157.7005277
148,2004,60,Male,Married,HS Grad,Information,Very Good,Yes,129.4536446
149,2007,40,Male,Married,College Grad,Information,Very Good,Yes,176.9896505
150,2004,35,Male,Never Married,Less than HS Grad,Information,Very Good,No,59.09706408
151,2007,35,Male,Married,Advanced Degree,Information,Very Good,No,94.07271475
152,2008,47,Male,Married,HS Grad,Industrial,Very Good,Yes,134.7053751
153,2003,43,Male,Never Married,College Grad,Information,Very Good,Yes,81.28325328
154,2003,33,Male,Married,Less than HS Grad,Industrial,Good,Yes,81.28325328
155,2003,60,Male,Divorced,Advanced Degree,Industrial,Very Good,Yes,153.4575153
156,2008,38,Male,Married,Advanced Degree,Industrial,Very Good,Yes,136.8763676
157,2005,53,Male,Married,HS Grad,Information,Very Good,No,75.04315402
158,2004,55,Male,Married,Some College,Information,Very Good,Yes,130.2208324
159,2003,57,Male,Married,HS Grad,Information,Good,No,104.9215065
160,2005,64,Male,Married,College Grad,Information,Good,No,49.55533812
161,2007,43,Male,Married,HS Grad,Industrial,Good,Yes,123.9085676
162,2008,35,Male,Married,Some College,Information,Very Good,Yes,123.0896998
163,2008,54,Male,Married,HS Grad,Information,Very Good,No,78.15516141
164,2007,45,Male,Married,HS Grad,Information,Good,Yes,73.77574327
165,2003,58,Male,Divorced,College Grad,Information,Very Good,Yes,138.2991269
166,2007,48,Male,Married,College Grad,Information,Good,No,127.1157438
167,2003,46,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,68.74808773
168,2004,46,Male,Married,HS Grad,Industrial,Very Good,Yes,84.39111475
169,2009,55,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,85.38394038
170,2006,51,Male,Married,Some College,Industrial,Very Good,Yes,128.6804882
171,2005,49,Male,Married,Some College,Industrial,Very Good,Yes,70.47601965
172,2008,34,Male,Never Married,Some College,Industrial,Very Good,Yes,76.89360252
173,2007,53,Male,Married,Some College,Industrial,Very Good,No,148.4131591
174,2004,40,Male,Married,Some College,Industrial,Very Good,Yes,148.4131591
175,2009,50,Male,Married,Some College,Industrial,Very Good,Yes,175.9608831
176,2006,37,Male,Divorced,Less than HS Grad,Information,Good,Yes,98.59934386
177,2003,39,Male,Married,Some College,Industrial,Very Good,Yes,145.1436012
178,2004,52,Male,Married,College Grad,Industrial,Good,Yes,99.6894637
179,2003,50,Male,Married,HS Grad,Information,Very Good,Yes,141.0888744
180,2006,48,Male,Married,College Grad,Industrial,Very Good,Yes,123.0896998
181,2006,47,Male,Married,HS Grad,Industrial,Very Good,Yes,129.4536446
182,2005,27,Male,Married,College Grad,Industrial,Very Good,Yes,111.7208494
183,2006,39,Male,Married,HS Grad,Industrial,Very Good,Yes,103.9024706
184,2009,44,Male,Married,HS Grad,Information,Good,Yes,118.8843593
185,2003,37,Male,Married,Some College,Industrial,Very Good,Yes,151.5914842
186,2006,52,Male,Married,HS Grad,Industrial,Good,No,101.8243521
187,2004,26,Male,Never Married,Some College,Industrial,Very Good,Yes,99.6894637
188,2008,39,Male,Married,Advanced Degree,Industrial,Good,Yes,99.6894637
189,2006,25,Male,Married,HS Grad,Industrial,Good,No,99.6894637
190,2005,31,Male,Never Married,College Grad,Information,Very Good,No,94.07271475
191,2004,58,Male,Married,Some College,Industrial,Good,Yes,152.2168068
192,2005,30,Male,Married,College Grad,Information,Very Good,Yes,104.9215065
193,2004,27,Male,Married,Less than HS Grad,Industrial,Good,Yes,65.11085372
194,2003,40,Male,Divorced,HS Grad,Industrial,Very Good,Yes,95.23071257
195,2006,55,Male,Married,Advanced Degree,Industrial,Very Good,Yes,173.8794933
196,2009,35,Male,Married,Advanced Degree,Information,Very Good,Yes,193.4110705
197,2008,48,Male,Married,HS Grad,Industrial,Good,No,114.4757133
198,2006,29,Male,Never Married,College Grad,Industrial,Good,Yes,160.6424754
199,2005,25,Male,Never Married,Some College,Industrial,Very Good,Yes,89.49247952
200,2004,40,Male,Married,Some College,Industrial,Very Good,Yes,120.5894365
201,2006,27,Male,Married,Less than HS Grad,Information,Good,No,73.77574327
202,2006,44,Male,Married,HS Grad,Information,Very Good,Yes,127.1157438
203,2006,49,Male,Married,Some College,Information,Very Good,Yes,118.8843593
204,2003,22,Male,Never Married,Some College,Industrial,Good,No,34.60741773
205,2007,45,Male,Married,Some College,Industrial,Good,Yes,114.4757133
206,2007,33,Male,Married,Some College,Industrial,Very Good,No,85.38394038
207,2007,63,Male,Married,Advanced Degree,Information,Very Good,Yes,318.3424301
208,2006,49,Male,Never Married,College Grad,Industrial,Very Good,Yes,141.7751723
209,2005,39,Male,Never Married,Advanced Degree,Information,Very Good,Yes,130.9821774
210,2007,25,Male,Never Married,Less than HS Grad,Industrial,Good,No,73.77574327
211,2005,29,Male,Never Married,Advanced Degree,Information,Very Good,Yes,130.9821774
212,2006,37,Male,Married,HS Grad,Industrial,Very Good,Yes,75.04315402
213,2008,35,Male,Married,Advanced Degree,Information,Good,Yes,154.9902603
214,2009,46,Male,Married,HS Grad,Industrial,Good,Yes,104.9215065
215,2008,58,Male,Married,College Grad,Industrial,Very Good,Yes,73.11830692
216,2003,39,Male,Married,Advanced Degree,Industrial,Very Good,Yes,123.0896998
217,2008,41,Male,Married,College Grad,Information,Very Good,Yes,157.7005277
218,2008,29,Male,Married,College Grad,Information,Very Good,Yes,81.28325328
219,2009,37,Male,Married,College Grad,Information,Good,Yes,107.2560621
220,2009,62,Male,Married,HS Grad,Information,Good,No,78.98167452
221,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,Yes,73.77574327
222,2003,37,Male,Married,HS Grad,Industrial,Good,Yes,94.07271475
223,2006,56,Male,Separated,College Grad,Information,Good,No,99.6894637
224,2004,36,Male,Married,Some College,Information,Very Good,Yes,176.9896505
225,2005,23,Male,Never Married,HS Grad,Information,Very Good,No,73.77574327
226,2003,46,Male,Married,Some College,Information,Very Good,Yes,99.6894637
227,2009,26,Male,Never Married,Some College,Industrial,Very Good,No,94.07271475
228,2006,43,Male,Married,Less than HS Grad,Information,Very Good,Yes,95.23071257
229,2007,36,Male,Married,HS Grad,Information,Very Good,Yes,127.1157438
230,2003,54,Male,Separated,Some College,Information,Good,Yes,99.6894637
231,2003,62,Male,Married,HS Grad,Industrial,Very Good,Yes,95.68881191
232,2006,40,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
233,2006,53,Male,Married,Some College,Industrial,Very Good,Yes,118.8843593
234,2007,48,Male,Married,Advanced Degree,Information,Very Good,Yes,176.9896505
235,2004,23,Male,Married,College Grad,Industrial,Very Good,No,61.18752643
236,2009,34,Male,Married,HS Grad,Industrial,Very Good,Yes,81.28325328
237,2004,43,Male,Married,College Grad,Information,Very Good,No,256.4006496
238,2006,55,Male,Married,HS Grad,Information,Good,Yes,81.28325328
239,2007,59,Male,Never Married,HS Grad,Information,Very Good,Yes,81.28325328
240,2007,60,Male,Married,HS Grad,Information,Very Good,No,55.76739051
241,2009,49,Male,Never Married,HS Grad,Industrial,Very Good,Yes,75.35567932
242,2006,45,Male,Married,Some College,Industrial,Very Good,Yes,130.9821774
243,2006,31,Male,Divorced,HS Grad,Industrial,Very Good,No,43.73511168
244,2004,34,Male,Never Married,College Grad,Information,Good,Yes,114.4757133
245,2005,26,Male,Never Married,Advanced Degree,Information,Very Good,Yes,114.4757133
246,2007,22,Male,Never Married,HS Grad,Industrial,Very Good,No,81.28325328
247,2004,40,Male,Married,HS Grad,Information,Good,No,68.5721657
248,2009,41,Male,Married,Some College,Information,Very Good,Yes,109.8339856
249,2006,36,Male,Never Married,Some College,Industrial,Very Good,Yes,97.49329405
250,2007,38,Male,Married,Less than HS Grad,Industrial,Very Good,No,62.39835472
251,2003,48,Male,Married,HS Grad,Industrial,Very Good,No,97.49329405
252,2006,47,Male,Married,Some College,Information,Very Good,Yes,134.7053751
253,2005,47,Male,Separated,Less than HS Grad,Industrial,Good,No,61.18752643
254,2007,35,Male,Married,College Grad,Information,Good,No,118.8843593
255,2008,49,Male,Married,HS Grad,Information,Very Good,Yes,65.11085372
256,2004,40,Male,Married,Some College,Information,Very Good,Yes,109.8339856
257,2004,32,Male,Widowed,College Grad,Industrial,Very Good,No,104.9215065
258,2008,57,Male,Married,College Grad,Industrial,Very Good,Yes,73.77574327
259,2008,56,Male,Married,College Grad,Industrial,Very Good,Yes,141.7751723
260,2009,73,Male,Married,Less than HS Grad,Industrial,Good,No,90.48191336
261,2007,29,Male,Never Married,HS Grad,Industrial,Good,Yes,73.77574327
262,2003,49,Male,Married,Advanced Degree,Industrial,Very Good,Yes,134.7053751
263,2009,30,Male,Never Married,HS Grad,Industrial,Very Good,Yes,109.8339856
264,2008,29,Male,Married,HS Grad,Industrial,Very Good,Yes,91.69922611
265,2004,36,Male,Married,Some College,Information,Very Good,No,95.23071257
266,2009,39,Male,Married,Advanced Degree,Information,Very Good,Yes,156.5035109
267,2007,48,Male,Married,College Grad,Information,Very Good,Yes,104.9215065
268,2006,45,Male,Married,College Grad,Industrial,Very Good,Yes,99.6894637
269,2004,50,Male,Married,College Grad,Industrial,Good,No,54.59815003
270,2003,42,Male,Married,College Grad,Information,Very Good,Yes,32.36641317
271,2007,58,Male,Married,Some College,Industrial,Good,No,118.8843593
272,2007,48,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
273,2003,48,Male,Married,College Grad,Industrial,Very Good,Yes,109.8339856
274,2005,45,Male,Married,Some College,Information,Very Good,Yes,118.8843593
275,2007,41,Male,Divorced,Some College,Industrial,Very Good,Yes,110.7826503
276,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,Yes,93.55726735
277,2004,44,Male,Married,HS Grad,Information,Very Good,Yes,109.8339856
278,2003,32,Male,Married,College Grad,Information,Very Good,Yes,118.8843593
279,2006,46,Male,Married,Less than HS Grad,Information,Very Good,Yes,118.8843593
280,2005,52,Male,Married,HS Grad,Information,Good,No,52.15617117
281,2003,22,Male,Never Married,Some College,Industrial,Very Good,No,43.73511168
282,2004,53,Male,Widowed,HS Grad,Industrial,Very Good,Yes,117.1468169
283,2008,34,Male,Married,Advanced Degree,Industrial,Good,Yes,118.8843593
284,2009,38,Male,Married,HS Grad,Industrial,Very Good,Yes,148.4131591
285,2009,42,Male,Married,Less than HS Grad,Information,Very Good,Yes,101.8243521
286,2005,25,Male,Never Married,Some College,Information,Very Good,Yes,94.07271475
287,2004,29,Male,Never Married,Some College,Industrial,Very Good,Yes,86.69515483
288,2005,28,Male,Married,Advanced Degree,Information,Very Good,Yes,141.7751723
289,2005,46,Male,Married,College Grad,Industrial,Very Good,Yes,66.96164432
290,2007,55,Male,Married,Advanced Degree,Information,Very Good,Yes,118.8843593
291,2004,56,Male,Married,HS Grad,Industrial,Good,No,105.7676396
292,2005,41,Male,Divorced,HS Grad,Information,Good,Yes,118.8843593
293,2009,61,Male,Married,Advanced Degree,Information,Very Good,No,176.9896505
294,2003,47,Male,Married,HS Grad,Information,Very Good,Yes,65.11085372
295,2006,52,Male,Married,Some College,Industrial,Very Good,Yes,85.38394038
296,2004,27,Male,Married,HS Grad,Industrial,Very Good,No,72.15045568
297,2007,33,Male,Never Married,Some College,Information,Very Good,Yes,89.24288466
298,2003,58,Male,Never Married,HS Grad,Information,Good,Yes,65.11085372
299,2005,27,Male,Married,College Grad,Industrial,Very Good,Yes,145.8051634
300,2009,52,Male,Separated,HS Grad,Industrial,Very Good,Yes,87.98103279
301,2003,45,Male,Married,Advanced Degree,Industrial,Very Good,No,41.09980363
302,2003,22,Male,Never Married,HS Grad,Information,Very Good,Yes,68.3956538
303,2005,25,Male,Never Married,Some College,Industrial,Good,Yes,81.28325328
304,2004,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,73.77574327
305,2005,41,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,130.9821774
306,2006,54,Male,Separated,College Grad,Industrial,Very Good,Yes,148.4131591
307,2007,23,Male,Married,HS Grad,Industrial,Very Good,Yes,81.22674631
308,2006,36,Male,Never Married,Advanced Degree,Industrial,Very Good,Yes,63.188861
309,2004,31,Male,Separated,Some College,Industrial,Good,Yes,94.07271475
310,2006,52,Male,Married,HS Grad,Information,Good,Yes,92.65813017
311,2007,46,Male,Married,HS Grad,Information,Good,No,76.89360252
312,2007,45,Male,Married,HS Grad,Industrial,Good,Yes,118.8843593
313,2009,40,Male,Married,HS Grad,Industrial,Good,No,79.85490031
314,2004,33,Male,Never Married,College Grad,Information,Very Good,Yes,86.69515483
315,2007,42,Male,Married,College Grad,Information,Very Good,Yes,133.9715001
316,2007,41,Male,Married,College Grad,Information,Very Good,Yes,125.5254984
317,2007,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,92.89584479
318,2005,24,Male,Divorced,HS Grad,Industrial,Very Good,Yes,72.15045568
319,2006,24,Male,Never Married,Some College,Industrial,Very Good,No,118.8843593
320,2008,51,Male,Married,HS Grad,Information,Good,No,70.47601965
321,2004,41,Male,Married,HS Grad,Industrial,Very Good,No,127.1157438
322,2009,42,Male,Never Married,College Grad,Information,Very Good,Yes,114.4757133
323,2005,30,Male,Never Married,College Grad,Industrial,Very Good,Yes,87.98103279
324,2009,55,Male,Married,Less than HS Grad,Industrial,Very Good,No,54.59815003
325,2008,23,Male,Never Married,HS Grad,Industrial,Very Good,Yes,84.04595765
326,2003,60,Male,Divorced,College Grad,Information,Very Good,No,85.38394038
327,2003,40,Male,Married,Advanced Degree,Information,Very Good,Yes,141.7751723
328,2008,41,Male,Never Married,HS Grad,Information,Very Good,Yes,110.7826503
329,2003,80,Male,Married,HS Grad,Information,Good,Yes,79.85490031
330,2005,53,Male,Married,HS Grad,Information,Very Good,Yes,97.49329405
331,2004,40,Male,Never Married,HS Grad,Industrial,Very Good,No,171.7651326
332,2009,35,Male,Married,Some College,Industrial,Good,Yes,137.4812478
333,2009,55,Male,Married,Less than HS Grad,Industrial,Good,Yes,75.35567932
334,2008,24,Male,Never Married,HS Grad,Information,Very Good,Yes,73.77574327
335,2007,39,Male,Married,College Grad,Information,Very Good,Yes,148.4131591
336,2003,30,Male,Married,Advanced Degree,Industrial,Very Good,Yes,95.23071257
337,2005,68,Male,Married,HS Grad,Industrial,Good,Yes,87.98103279
338,2004,54,Male,Married,HS Grad,Information,Good,Yes,109.8339856
339,2008,27,Male,Never Married,College Grad,Industrial,Very Good,No,81.28325328
340,2005,34,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8843593
341,2004,53,Male,Married,Advanced Degree,Information,Good,Yes,127.1157438
342,2004,48,Male,Married,Advanced Degree,Information,Very Good,No,85.38394038
343,2005,59,Male,Married,HS Grad,Industrial,Very Good,Yes,81.28325328
344,2004,30,Male,Married,Some College,Industrial,Very Good,No,118.8843593
345,2007,45,Male,Married,Advanced Degree,Information,Very Good,Yes,163.515864
346,2007,39,Male,Married,College Grad,Information,Good,Yes,104.9215065
347,2008,45,Male,Married,College Grad,Industrial,Good,No,99.6894637
348,2007,43,Male,Married,Advanced Degree,Information,Very Good,Yes,281.7459706
349,2003,30,Male,Never Married,Advanced Degree,Information,Very Good,Yes,138.2991269
350,2005,57,Male,Married,College Grad,Information,Very Good,Yes,176.9896505
351,2004,53,Male,Married,College Grad,Information,Good,Yes,136.8763676
352,2009,42,Male,Married,College Grad,Information,Very Good,Yes,186.8766776
353,2005,23,Male,Never Married,HS Grad,Industrial,Good,No,90.48191336
354,2009,58,Male,Married,HS Grad,Industrial,Good,No,85.38394038
355,2005,43,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,145.1436012
356,2003,33,Male,Divorced,Advanced Degree,Information,Very Good,Yes,120.5894365
357,2004,56,Male,Married,College Grad,Information,Very Good,Yes,101.8243521
358,2006,37,Male,Married,College Grad,Industrial,Very Good,No,108.8745258
359,2009,41,Male,Divorced,Advanced Degree,Industrial,Very Good,No,38.60591452
360,2007,33,Male,Married,Some College,Information,Very Good,Yes,92.89584479
361,2007,50,Male,Never Married,Advanced Degree,Information,Very Good,Yes,126.3238807
362,2003,43,Male,Married,Advanced Degree,Information,Very Good,Yes,191.5736835
363,2004,53,Male,Married,College Grad,Industrial,Very Good,Yes,155.9005061
364,2005,37,Male,Widowed,Some College,Information,Very Good,Yes,87.98103279
365,2006,20,Male,Never Married,Some College,Information,Very Good,No,59.09706408
366,2003,26,Male,Never Married,Some College,Industrial,Very Good,Yes,73.77574327
367,2003,29,Male,Divorced,College Grad,Information,Very Good,No,90.48191336
368,2008,57,Male,Married,College Grad,Information,Very Good,Yes,118.8843593
369,2009,47,Male,Married,Some College,Information,Very Good,Yes,151.5914842
370,2004,54,Male,Married,Advanced Degree,Industrial,Very Good,No,272.2947832
371,2007,38,Male,Married,Less than HS Grad,Industrial,Good,No,97.49329405
